OrderID,Date,Product,Category,Region,Channel,Quantity,UnitPrice,UnitCost,Revenue,Cost,Profit,MarginPct
100001,2025-09-01,Feed - Layer Mash (bag),Feed,Oyo,Direct Farm Sale,5,14242.64,10237.57,71213.2,51187.85,20025.35,28.1
100002,2025-09-01,Layer Eggs (Crate),Poultry,Ogun,Distributor,5,2882.71,1851.62,14413.55,9258.1,5155.45,35.8
100003,2025-09-01,Goat Meat (kg),Livestock,Ibadan Metro,Direct Farm Sale,1,3654.76,2627.56,3654.76,2627.56,1027.2,28.1
100004,2025-09-01,Goat Meat (kg),Livestock,Ogun,Distributor,1,3632.95,2605.58,3632.95,2605.58,1027.37,28.3
100005,2025-09-01,"Cattle (Live, per head)",Livestock,Ogun,Direct Farm Sale,1,300296.14,213248.13,300296.14,213248.13,87048.01,29.0
100006,2025-09-01,Layer Eggs (Crate),Poultry,Lagos,Direct Farm Sale,3,2840.24,1776.58,8520.72,5329.74,3190.98,37.4
100007,2025-09-01,"Ram (Live, per head)",Livestock,Lagos,Direct Farm Sale,1,99578.71,68512.64,99578.71,68512.64,31066.07,31.2
100008,2025-09-01,"Ram (Live, per head)",Livestock,Ogun,Direct Farm Sale,1,102224.37,76057.1,102224.37,76057.1,26167.27,25.6
100009,2025-09-02,Feed - Layer Mash (bag),Feed,Oyo,Distributor,16,14196.38,10180.59,227142.08,162889.44,64252.64,28.3
100010,2025-09-02,"Cattle (Live, per head)",Livestock,Lagos,Retail Market,1,268713.64,209032.85,268713.64,209032.85,59680.79,22.2
100011,2025-09-02,Feed - Layer Mash (bag),Feed,Lagos,Direct Farm Sale,9,14129.53,10232.21,127165.77,92089.89,35075.88,27.6
100012,2025-09-02,Goat Meat (kg),Livestock,Ibadan Metro,Distributor,1,3773.46,2377.92,3773.46,2377.92,1395.54,37.0
100013,2025-09-02,Feed - Broiler Starter (bag),Feed,Oyo,Retail Market,8,15278.56,10844.71,122228.48,86757.68,35470.8,29.0
100014,2025-09-02,Turkey,Poultry,Lagos,Retail Market,6,4563.87,3211.31,27383.22,19267.86,8115.36,29.6
100015,2025-09-02,Feed - Broiler Starter (bag),Feed,Lagos,Distributor,13,16529.96,11505.83,214889.48,149575.79,65313.69,30.4
100016,2025-09-03,Goat Meat (kg),Livestock,Oyo,Direct Farm Sale,1,4050.92,2861.14,4050.92,2861.14,1189.78,29.4
100017,2025-09-03,Layer Eggs (Crate),Poultry,Lagos,Distributor,4,2660.19,1799.38,10640.76,7197.52,3443.24,32.4
100018,2025-09-03,Turkey,Poultry,Lagos,Distributor,7,4404.93,2815.54,30834.51,19708.78,11125.73,36.1
100019,2025-09-03,Goat Meat (kg),Livestock,Lagos,Direct Farm Sale,1,3718.07,2637.21,3718.07,2637.21,1080.86,29.1
100020,2025-09-03,Goat Meat (kg),Livestock,Lagos,Online Order,1,4085.45,2697.56,4085.45,2697.56,1387.89,34.0
100021,2025-09-03,Layer Eggs (Crate),Poultry,Oyo,Direct Farm Sale,4,2785.61,2009.81,11142.44,8039.24,3103.2,27.9
100022,2025-09-03,"Ram (Live, per head)",Livestock,Lagos,Distributor,1,102422.78,67468.84,102422.78,67468.84,34953.94,34.1
100023,2025-09-03,Goat Meat (kg),Livestock,Lagos,Distributor,1,3729.63,2791.64,3729.63,2791.64,937.99,25.1
100024,2025-09-03,"Cattle (Live, per head)",Livestock,Ogun,Distributor,1,285502.2,181135.83,285502.2,181135.83,104366.37,36.6
100025,2025-09-03,Broiler Chicken,Poultry,Lagos,Distributor,6,3397.08,2283.36,20382.48,13700.16,6682.32,32.8
100026,2025-09-03,Goat Meat (kg),Livestock,Lagos,Distributor,1,3721.89,2691.77,3721.89,2691.77,1030.12,27.7
100027,2025-09-03,Goat Meat (kg),Livestock,Ibadan Metro,Distributor,1,3865.77,2914.92,3865.77,2914.92,950.85,24.6
100028,2025-09-04,Feed - Layer Mash (bag),Feed,Ogun,Direct Farm Sale,11,14062.24,10473.28,154684.64,115206.08,39478.56,25.5
100029,2025-09-04,Feed - Layer Mash (bag),Feed,Ibadan Metro,Online Order,2,13687.98,9758.3,27375.96,19516.6,7859.36,28.7
100030,2025-09-04,Feed - Layer Mash (bag),Feed,Lagos,Retail Market,16,12924.85,9486.18,206797.6,151778.88,55018.72,26.6
100031,2025-09-04,Broiler Chicken,Poultry,Ogun,Direct Farm Sale,7,3349.57,2463.11,23446.99,17241.77,6205.22,26.5
100032,2025-09-04,Feed - Layer Mash (bag),Feed,Ogun,Direct Farm Sale,1,14209.69,9703.74,14209.69,9703.74,4505.95,31.7
100033,2025-09-04,"Ram (Live, per head)",Livestock,Ibadan Metro,Distributor,1,94573.47,68397.1,94573.47,68397.1,26176.37,27.7
100034,2025-09-04,Feed - Broiler Starter (bag),Feed,Ogun,Direct Farm Sale,2,15290.76,9539.76,30581.52,19079.52,11502.0,37.6
100035,2025-09-04,Broiler Chicken,Poultry,Lagos,Online Order,1,3351.05,2588.66,3351.05,2588.66,762.39,22.8
100036,2025-09-04,"Cattle (Live, per head)",Livestock,Ogun,Online Order,1,301075.77,227758.25,301075.77,227758.25,73317.52,24.4
100037,2025-09-04,Feed - Broiler Starter (bag),Feed,Lagos,Direct Farm Sale,4,15702.84,10672.12,62811.36,42688.48,20122.88,32.0
100038,2025-09-04,Layer Eggs (Crate),Poultry,Ibadan Metro,Retail Market,2,3020.38,1940.33,6040.76,3880.66,2160.1,35.8
100039,2025-09-04,Turkey,Poultry,Lagos,Direct Farm Sale,5,4354.92,3194.01,21774.6,15970.05,5804.55,26.7
100040,2025-09-05,Goat Meat (kg),Livestock,Oyo,Distributor,1,3956.77,2957.0,3956.77,2957.0,999.77,25.3
100041,2025-09-05,Goat Meat (kg),Livestock,Ibadan Metro,Direct Farm Sale,1,3895.96,2688.82,3895.96,2688.82,1207.14,31.0
100042,2025-09-05,Feed - Broiler Starter (bag),Feed,Lagos,Distributor,1,14786.46,9255.96,14786.46,9255.96,5530.5,37.4
100043,2025-09-05,"Ram (Live, per head)",Livestock,Lagos,Distributor,1,94284.14,70944.95,94284.14,70944.95,23339.19,24.8
100044,2025-09-05,Goat Meat (kg),Livestock,Lagos,Distributor,1,3652.16,2294.54,3652.16,2294.54,1357.62,37.2
100045,2025-09-05,Goat Meat (kg),Livestock,Lagos,Retail Market,1,3678.35,2358.7,3678.35,2358.7,1319.65,35.9
100046,2025-09-06,Feed - Broiler Starter (bag),Feed,Oyo,Distributor,6,15040.22,9927.13,90241.32,59562.78,30678.54,34.0
100047,2025-09-06,"Ram (Live, per head)",Livestock,Lagos,Direct Farm Sale,1,101792.48,73506.72,101792.48,73506.72,28285.76,27.8
100048,2025-09-06,"Cattle (Live, per head)",Livestock,Oyo,Distributor,1,288266.64,198078.39,288266.64,198078.39,90188.25,31.3
100049,2025-09-06,Goat Meat (kg),Livestock,Ogun,Direct Farm Sale,1,3669.36,2475.72,3669.36,2475.72,1193.64,32.5
100050,2025-09-06,Goat Meat (kg),Livestock,Lagos,Direct Farm Sale,1,4032.6,2954.22,4032.6,2954.22,1078.38,26.7
100051,2025-09-06,Goat Meat (kg),Livestock,Lagos,Retail Market,1,4008.62,2707.46,4008.62,2707.46,1301.16,32.5
100052,2025-09-06,"Ram (Live, per head)",Livestock,Ogun,Distributor,1,97855.75,70614.18,97855.75,70614.18,27241.57,27.8
100053,2025-09-06,Layer Eggs (Crate),Poultry,Lagos,Direct Farm Sale,5,2908.96,2090.19,14544.8,10450.95,4093.85,28.1
100054,2025-09-07,"Ram (Live, per head)",Livestock,Lagos,Direct Farm Sale,1,98685.13,62308.82,98685.13,62308.82,36376.31,36.9
100055,2025-09-07,Feed - Layer Mash (bag),Feed,Lagos,Retail Market,8,12987.35,9082.91,103898.8,72663.28,31235.52,30.1
100056,2025-09-07,Layer Eggs (Crate),Poultry,Oyo,Distributor,6,2762.66,1791.28,16575.96,10747.68,5828.28,35.2
100057,2025-09-07,Broiler Chicken,Poultry,Ogun,Distributor,7,3093.12,2041.47,21651.84,14290.29,7361.55,34.0
100058,2025-09-07,Feed - Layer Mash (bag),Feed,Lagos,Online Order,4,13834.8,8805.85,55339.2,35223.4,20115.8,36.4
100059,2025-09-07,Broiler Chicken,Poultry,Ogun,Distributor,10,3163.82,2012.18,31638.2,20121.8,11516.4,36.4
100060,2025-09-07,Goat Meat (kg),Livestock,Lagos,Online Order,1,3655.1,2452.9,3655.1,2452.9,1202.2,32.9
100061,2025-09-07,"Ram (Live, per head)",Livestock,Oyo,Distributor,1,96338.87,61013.86,96338.87,61013.86,35325.01,36.7
100062,2025-09-07,"Cattle (Live, per head)",Livestock,Lagos,Direct Farm Sale,1,290479.67,215065.32,290479.67,215065.32,75414.35,26.0
100063,2025-09-07,Feed - Broiler Starter (bag),Feed,Oyo,Direct Farm Sale,6,16676.83,12175.5,100060.98,73053.0,27007.98,27.0
100064,2025-09-07,Layer Eggs (Crate),Poultry,Ogun,Direct Farm Sale,14,2915.15,1841.33,40812.1,25778.62,15033.48,36.8
100065,2025-09-07,Layer Eggs (Crate),Poultry,Ibadan Metro,Direct Farm Sale,1,2974.18,2262.93,2974.18,2262.93,711.25,23.9
100066,2025-09-07,Broiler Chicken,Poultry,Ibadan Metro,Online Order,5,3196.52,2024.55,15982.6,10122.75,5859.85,36.7
100067,2025-09-07,"Cattle (Live, per head)",Livestock,Lagos,Retail Market,1,275053.56,185067.15,275053.56,185067.15,89986.41,32.7
100068,2025-09-07,"Ram (Live, per head)",Livestock,Ogun,Direct Farm Sale,1,96037.96,60408.7,96037.96,60408.7,35629.26,37.1
100069,2025-09-08,"Ram (Live, per head)",Livestock,Oyo,Online Order,1,97116.66,65226.45,97116.66,65226.45,31890.21,32.8
100070,2025-09-08,Feed - Layer Mash (bag),Feed,Ogun,Online Order,5,13437.64,9684.56,67188.2,48422.8,18765.4,27.9
100071,2025-09-08,"Ram (Live, per head)",Livestock,Lagos,Online Order,1,98857.02,67368.32,98857.02,67368.32,31488.7,31.9
100072,2025-09-08,Feed - Broiler Starter (bag),Feed,Lagos,Direct Farm Sale,2,16518.88,11446.02,33037.76,22892.04,10145.72,30.7
100073,2025-09-08,Goat Meat (kg),Livestock,Lagos,Direct Farm Sale,1,3929.54,2680.43,3929.54,2680.43,1249.11,31.8
