VisitID,Date,Territory,Region,Rep,DealSize,Converted
5001,2025-09-01,Lagos Mainland,Lagos,Rep 12,230076.57,1
5002,2025-09-01,Lagos Mainland,Lagos,Rep 22,231653.0,1
5003,2025-09-01,Lagos Mainland,Lagos,Rep 03,141319.63,1
5004,2025-09-01,Lagos Mainland,Lagos,Rep 04,39147.39,1
5005,2025-09-01,Lagos Mainland,Lagos,Rep 02,42409.95,1
5006,2025-09-01,Lagos Mainland,Lagos,Rep 08,108841.18,1
5007,2025-09-01,Lagos Mainland,Lagos,Rep 01,73286.59,1
5008,2025-09-01,Lagos Mainland,Lagos,Rep 04,217322.0,1
5009,2025-09-01,Lagos Mainland,Lagos,Rep 02,0.0,0
5010,2025-09-01,Lagos Mainland,Lagos,Rep 06,20592.23,1
5011,2025-09-01,Lagos Mainland,Lagos,Rep 03,391202.07,1
5012,2025-09-01,Lagos Island,Lagos,Rep 12,0.0,0
5013,2025-09-01,Lagos Island,Lagos,Rep 12,0.0,0
5014,2025-09-01,Lagos Island,Lagos,Rep 13,0.0,0
5015,2025-09-01,Lagos Island,Lagos,Rep 07,0.0,0
5016,2025-09-01,Lagos Island,Lagos,Rep 16,242514.31,1
5017,2025-09-01,Lagos Island,Lagos,Rep 10,0.0,0
5018,2025-09-01,Lagos Island,Lagos,Rep 07,0.0,0
5019,2025-09-01,Lagos Island,Lagos,Rep 15,142687.83,1
5020,2025-09-01,Lekki-Ajah,Lagos,Rep 02,0.0,0
5021,2025-09-01,Lekki-Ajah,Lagos,Rep 20,0.0,0
5022,2025-09-01,Lekki-Ajah,Lagos,Rep 22,176905.44,1
5023,2025-09-01,Lekki-Ajah,Lagos,Rep 12,226401.14,1
5024,2025-09-01,Lekki-Ajah,Lagos,Rep 01,0.0,0
5025,2025-09-01,Lekki-Ajah,Lagos,Rep 14,0.0,0
5026,2025-09-01,Lekki-Ajah,Lagos,Rep 03,42124.23,1
5027,2025-09-01,Sagamu,Ogun,Rep 15,0.0,0
5028,2025-09-01,Ibadan North,Oyo,Rep 13,0.0,0
5029,2025-09-01,Ibadan North,Oyo,Rep 08,0.0,0
5030,2025-09-01,Ibadan North,Oyo,Rep 13,0.0,0
5031,2025-09-01,Ibadan North,Oyo,Rep 17,42763.91,1
5032,2025-09-01,Ibadan South,Oyo,Rep 11,0.0,0
5033,2025-09-01,Ibadan South,Oyo,Rep 16,205714.1,1
5034,2025-09-01,Ibadan South,Oyo,Rep 20,0.0,0
5035,2025-09-02,Lagos Mainland,Lagos,Rep 02,0.0,0
5036,2025-09-02,Lagos Mainland,Lagos,Rep 03,85998.63,1
5037,2025-09-02,Lagos Mainland,Lagos,Rep 21,0.0,0
5038,2025-09-02,Lagos Mainland,Lagos,Rep 19,94333.33,1
5039,2025-09-02,Lagos Mainland,Lagos,Rep 06,0.0,0
5040,2025-09-02,Lagos Mainland,Lagos,Rep 17,0.0,0
5041,2025-09-02,Lagos Mainland,Lagos,Rep 10,0.0,0
5042,2025-09-02,Lagos Mainland,Lagos,Rep 18,127461.42,1
5043,2025-09-02,Lagos Mainland,Lagos,Rep 21,0.0,0
5044,2025-09-02,Lagos Mainland,Lagos,Rep 12,0.0,0
5045,2025-09-02,Abeokuta,Ogun,Rep 21,125749.88,1
5046,2025-09-02,Abeokuta,Ogun,Rep 01,0.0,0
5047,2025-09-02,Abeokuta,Ogun,Rep 18,0.0,0
5048,2025-09-02,Abeokuta,Ogun,Rep 06,0.0,0
5049,2025-09-02,Sagamu,Ogun,Rep 16,0.0,0
5050,2025-09-02,Ibadan South,Oyo,Rep 07,78774.69,1
5051,2025-09-02,Ibadan South,Oyo,Rep 09,0.0,0
5052,2025-09-02,Ibadan South,Oyo,Rep 06,0.0,0
5053,2025-09-02,Ibadan South,Oyo,Rep 05,0.0,0
5054,2025-09-03,Lagos Mainland,Lagos,Rep 21,0.0,0
5055,2025-09-03,Lagos Mainland,Lagos,Rep 17,0.0,0
5056,2025-09-03,Lagos Mainland,Lagos,Rep 21,73406.09,1
5057,2025-09-03,Lagos Mainland,Lagos,Rep 01,0.0,0
5058,2025-09-03,Lagos Mainland,Lagos,Rep 22,0.0,0
5059,2025-09-03,Lagos Mainland,Lagos,Rep 20,0.0,0
5060,2025-09-03,Lagos Mainland,Lagos,Rep 08,145688.49,1
5061,2025-09-03,Lagos Mainland,Lagos,Rep 09,54207.9,1
5062,2025-09-03,Lagos Mainland,Lagos,Rep 05,266365.48,1
5063,2025-09-03,Lagos Mainland,Lagos,Rep 15,75010.79,1
5064,2025-09-03,Lagos Mainland,Lagos,Rep 01,0.0,0
5065,2025-09-03,Lagos Mainland,Lagos,Rep 06,0.0,0
5066,2025-09-03,Lekki-Ajah,Lagos,Rep 07,0.0,0
5067,2025-09-03,Lekki-Ajah,Lagos,Rep 03,0.0,0
5068,2025-09-03,Lekki-Ajah,Lagos,Rep 21,0.0,0
5069,2025-09-03,Lekki-Ajah,Lagos,Rep 16,0.0,0
5070,2025-09-03,Lekki-Ajah,Lagos,Rep 11,0.0,0
5071,2025-09-03,Lekki-Ajah,Lagos,Rep 21,0.0,0
5072,2025-09-03,Lekki-Ajah,Lagos,Rep 11,0.0,0
5073,2025-09-03,Lekki-Ajah,Lagos,Rep 03,0.0,0
5074,2025-09-03,Lekki-Ajah,Lagos,Rep 18,180881.38,1
5075,2025-09-03,Lekki-Ajah,Lagos,Rep 04,196644.88,1
5076,2025-09-03,Lekki-Ajah,Lagos,Rep 08,91432.67,1
5077,2025-09-03,Sagamu,Ogun,Rep 12,121710.5,1
5078,2025-09-04,Ibadan South,Oyo,Rep 15,0.0,0
5079,2025-09-04,Ibadan South,Oyo,Rep 09,151747.46,1
5080,2025-09-04,Ibadan South,Oyo,Rep 22,240378.3,1
5081,2025-09-04,Ibadan South,Oyo,Rep 01,80123.75,1
5082,2025-09-04,Ibadan South,Oyo,Rep 10,0.0,0
5083,2025-09-04,Ibadan South,Oyo,Rep 09,0.0,0
5084,2025-09-05,Lagos Island,Lagos,Rep 04,0.0,0
5085,2025-09-05,Lagos Island,Lagos,Rep 13,0.0,0
5086,2025-09-05,Lagos Island,Lagos,Rep 22,259140.79,1
5087,2025-09-05,Lagos Island,Lagos,Rep 08,0.0,0
5088,2025-09-05,Lagos Island,Lagos,Rep 13,0.0,0
5089,2025-09-05,Lagos Island,Lagos,Rep 04,134922.7,1
5090,2025-09-05,Sagamu,Ogun,Rep 01,138791.58,1
5091,2025-09-05,Ibadan North,Oyo,Rep 02,125891.35,1
5092,2025-09-05,Ibadan North,Oyo,Rep 16,52700.94,1
5093,2025-09-05,Ibadan North,Oyo,Rep 17,0.0,0
5094,2025-09-05,Ogbomosho,Oyo,Rep 08,139951.27,1
5095,2025-09-06,Lekki-Ajah,Lagos,Rep 20,64230.11,1
5096,2025-09-06,Lekki-Ajah,Lagos,Rep 12,0.0,0
5097,2025-09-06,Lekki-Ajah,Lagos,Rep 08,91710.81,1
5098,2025-09-06,Lekki-Ajah,Lagos,Rep 17,0.0,0
5099,2025-09-06,Lekki-Ajah,Lagos,Rep 16,108085.68,1
5100,2025-09-06,Lekki-Ajah,Lagos,Rep 05,0.0,0
5101,2025-09-06,Lekki-Ajah,Lagos,Rep 14,118186.87,1
5102,2025-09-06,Lekki-Ajah,Lagos,Rep 14,202597.19,1
5103,2025-09-06,Sagamu,Ogun,Rep 11,235974.14,1
5104,2025-09-06,Sagamu,Ogun,Rep 03,0.0,0
5105,2025-09-06,Ibadan North,Oyo,Rep 10,0.0,0
5106,2025-09-06,Ibadan North,Oyo,Rep 09,0.0,0
5107,2025-09-07,Lagos Mainland,Lagos,Rep 05,0.0,0
5108,2025-09-07,Lagos Mainland,Lagos,Rep 18,0.0,0
5109,2025-09-07,Lagos Mainland,Lagos,Rep 08,0.0,0
5110,2025-09-07,Lagos Mainland,Lagos,Rep 17,108652.29,1
5111,2025-09-07,Lagos Mainland,Lagos,Rep 17,322903.16,1
5112,2025-09-07,Lagos Mainland,Lagos,Rep 04,0.0,0
5113,2025-09-07,Lekki-Ajah,Lagos,Rep 03,103210.92,1
5114,2025-09-07,Lekki-Ajah,Lagos,Rep 15,0.0,0
5115,2025-09-07,Lekki-Ajah,Lagos,Rep 11,0.0,0
5116,2025-09-07,Lekki-Ajah,Lagos,Rep 10,197517.87,1
5117,2025-09-07,Sagamu,Ogun,Rep 21,0.0,0
5118,2025-09-07,Sagamu,Ogun,Rep 11,0.0,0
5119,2025-09-07,Ibadan North,Oyo,Rep 20,0.0,0
5120,2025-09-07,Ibadan North,Oyo,Rep 02,454504.0,1
5121,2025-09-08,Lagos Mainland,Lagos,Rep 21,0.0,0
5122,2025-09-08,Lagos Mainland,Lagos,Rep 11,163302.81,1
5123,2025-09-08,Lagos Mainland,Lagos,Rep 05,0.0,0
5124,2025-09-08,Lagos Mainland,Lagos,Rep 16,63659.72,1
5125,2025-09-08,Lagos Mainland,Lagos,Rep 08,157392.86,1
5126,2025-09-08,Lagos Mainland,Lagos,Rep 15,0.0,0
5127,2025-09-08,Lagos Mainland,Lagos,Rep 15,0.0,0
5128,2025-09-08,Lagos Mainland,Lagos,Rep 07,0.0,0
5129,2025-09-08,Lagos Mainland,Lagos,Rep 04,0.0,0
5130,2025-09-08,Lagos Mainland,Lagos,Rep 17,265088.04,1
5131,2025-09-08,Abeokuta,Ogun,Rep 22,151712.32,1
5132,2025-09-08,Abeokuta,Ogun,Rep 04,151690.98,1
5133,2025-09-08,Abeokuta,Ogun,Rep 10,0.0,0
5134,2025-09-08,Abeokuta,Ogun,Rep 12,0.0,0
5135,2025-09-08,Abeokuta,Ogun,Rep 11,0.0,0
5136,2025-09-08,Abeokuta,Ogun,Rep 12,193105.65,1
5137,2025-09-08,Abeokuta,Ogun,Rep 04,0.0,0
5138,2025-09-08,Ibadan North,Oyo,Rep 04,0.0,0
5139,2025-09-08,Ibadan North,Oyo,Rep 07,0.0,0
5140,2025-09-08,Ibadan North,Oyo,Rep 09,84760.45,1
5141,2025-09-08,Ibadan North,Oyo,Rep 09,99582.06,1
5142,2025-09-08,Ibadan North,Oyo,Rep 15,0.0,0
5143,2025-09-08,Ibadan South,Oyo,Rep 02,0.0,0
5144,2025-09-08,Ibadan South,Oyo,Rep 04,46233.44,1
5145,2025-09-08,Ibadan South,Oyo,Rep 18,0.0,0
5146,2025-09-09,Lagos Mainland,Lagos,Rep 14,0.0,0
5147,2025-09-09,Lagos Mainland,Lagos,Rep 07,212829.46,1
5148,2025-09-09,Lagos Mainland,Lagos,Rep 07,0.0,0
5149,2025-09-09,Lagos Mainland,Lagos,Rep 05,0.0,0
5150,2025-09-09,Lagos Mainland,Lagos,Rep 18,0.0,0
5151,2025-09-09,Lagos Mainland,Lagos,Rep 01,133931.08,1
5152,2025-09-09,Lagos Mainland,Lagos,Rep 13,0.0,0
5153,2025-09-09,Lagos Mainland,Lagos,Rep 07,0.0,0
5154,2025-09-09,Lagos Mainland,Lagos,Rep 21,0.0,0
5155,2025-09-09,Lagos Mainland,Lagos,Rep 16,147810.31,1
5156,2025-09-09,Lagos Island,Lagos,Rep 17,170250.01,1
5157,2025-09-09,Lagos Island,Lagos,Rep 06,0.0,0
5158,2025-09-09,Lagos Island,Lagos,Rep 12,230349.89,1
5159,2025-09-09,Lagos Island,Lagos,Rep 05,0.0,0
5160,2025-09-09,Lagos Island,Lagos,Rep 03,0.0,0
5161,2025-09-09,Abeokuta,Ogun,Rep 22,115214.93,1
5162,2025-09-09,Abeokuta,Ogun,Rep 10,0.0,0
5163,2025-09-09,Abeokuta,Ogun,Rep 01,167083.89,1
5164,2025-09-09,Abeokuta,Ogun,Rep 11,252369.93,1
5165,2025-09-09,Abeokuta,Ogun,Rep 21,138452.88,1
5166,2025-09-09,Abeokuta,Ogun,Rep 15,0.0,0
5167,2025-09-09,Abeokuta,Ogun,Rep 21,0.0,0
